allocated_memory_MB,total_memory_MB,milliseconds
256.0,4012.0,1645628892618
256.0,4011.0,1645628892618
256.0,4011.0,1645628892623
256.0,4011.0,1645628892623
256.0,4011.0,1645628892624
256.0,4011.0,1645628892624
256.0,4011.0,1645628892624
256.0,4011.0,1645628892625
256.0,4011.0,1645628892625
256.0,4011.0,1645628892625
256.0,4011.0,1645628892626
256.0,4011.0,1645628892626
256.0,4011.0,1645628892626
256.0,4011.0,1645628892626
256.0,4011.0,1645628892627
256.0,4011.0,1645628892627
256.0,4011.0,1645628892627
256.0,4011.0,1645628892628
256.0,4011.0,1645628892628
256.0,4011.0,1645628892628
256.0,4011.0,1645628892628
256.0,4011.0,1645628892629
256.0,4011.0,1645628892629
256.0,4011.0,1645628892629
256.0,4011.0,1645628892630
256.0,4011.0,1645628892630
256.0,4011.0,1645628892630
256.0,4011.0,1645628892631
256.0,4011.0,1645628892631
256.0,4011.0,1645628892631
256.0,4011.0,1645628892631
256.0,4011.0,1645628892631
256.0,4010.0,1645628892632
256.0,4010.0,1645628892632
256.0,4010.0,1645628892632
256.0,4010.0,1645628892632
256.0,4010.0,1645628892633
256.0,4010.0,1645628892633
256.0,4010.0,1645628892633
256.0,4010.0,1645628892633
256.0,4010.0,1645628892634
256.0,4010.0,1645628892634
256.0,4010.0,1645628892634
256.0,4010.0,1645628892634
256.0,4010.0,1645628892635
256.0,4010.0,1645628892635
256.0,4010.0,1645628892635
256.0,4010.0,1645628892636
256.0,4010.0,1645628892636
256.0,4010.0,1645628892636
256.0,4010.0,1645628892636
256.0,4010.0,1645628892636
256.0,4010.0,1645628892637
256.0,4010.0,1645628892637
256.0,4010.0,1645628892637
256.0,4010.0,1645628892637
256.0,4010.0,1645628892637
256.0,4010.0,1645628892638
256.0,4010.0,1645628892638
256.0,4010.0,1645628892638
256.0,4010.0,1645628892638
256.0,4010.0,1645628892638
256.0,4010.0,1645628892638
256.0,4010.0,1645628892639
256.0,4010.0,1645628892639
256.0,4010.0,1645628892639
256.0,4010.0,1645628892639
256.0,4010.0,1645628892639
256.0,4009.0,1645628892639
256.0,4009.0,1645628892640
256.0,4009.0,1645628892640
256.0,4009.0,1645628892640
256.0,4009.0,1645628892641
256.0,4009.0,1645628892641
256.0,4009.0,1645628892641
256.0,4009.0,1645628892641
256.0,4009.0,1645628892641
256.0,4009.0,1645628892641
256.0,4009.0,1645628892642
256.0,4009.0,1645628892642
256.0,4009.0,1645628892642
256.0,4009.0,1645628892642
256.0,4009.0,1645628892643
256.0,4009.0,1645628892643
256.0,4009.0,1645628892643
256.0,4009.0,1645628892643
256.0,4009.0,1645628892644
256.0,4008.0,1645628892644
256.0,4008.0,1645628892644
256.0,4008.0,1645628892644
256.0,4008.0,1645628892644
256.0,4008.0,1645628892645
256.0,4008.0,1645628892645
256.0,4008.0,1645628892645
256.0,4008.0,1645628892645
256.0,4008.0,1645628892645
256.0,4008.0,1645628892646
256.0,4008.0,1645628892646
256.0,4008.0,1645628892646
256.0,4008.0,1645628892646
256.0,4008.0,1645628892647
256.0,4008.0,1645628892647
256.0,4008.0,1645628892647
256.0,4008.0,1645628892647
256.0,4008.0,1645628892647
256.0,4008.0,1645628892648
256.0,4008.0,1645628892648
256.0,4008.0,1645628892648
256.0,4008.0,1645628892648
256.0,4008.0,1645628892648
256.0,4008.0,1645628892648
256.0,4008.0,1645628892649
256.0,4008.0,1645628892649
