allocated_memory_MB,total_memory_MB,milliseconds
256.0,4057.0,1645897690248
256.0,4057.0,1645897690249
256.0,4057.0,1645897690249
256.0,4057.0,1645897690249
256.0,4057.0,1645897690249
256.0,4057.0,1645897690250
256.0,4057.0,1645897690250
256.0,4057.0,1645897690250
256.0,4057.0,1645897690251
256.0,4057.0,1645897690251
256.0,4057.0,1645897690251
256.0,4057.0,1645897690251
256.0,4057.0,1645897690252
256.0,4057.0,1645897690252
256.0,4057.0,1645897690252
256.0,4057.0,1645897690252
256.0,4057.0,1645897690253
256.0,4057.0,1645897690253
256.0,4057.0,1645897690253
256.0,4057.0,1645897690253
256.0,4057.0,1645897690254
256.0,4057.0,1645897690254
256.0,4057.0,1645897690254
256.0,4057.0,1645897690255
256.0,4056.0,1645897690255
256.0,4056.0,1645897690255
256.0,4056.0,1645897690255
256.0,4056.0,1645897690256
256.0,4056.0,1645897690256
256.0,4056.0,1645897690256
256.0,4056.0,1645897690257
256.0,4056.0,1645897690257
256.0,4056.0,1645897690257
256.0,4056.0,1645897690257
256.0,4056.0,1645897690258
256.0,4056.0,1645897690258
256.0,4056.0,1645897690258
256.0,4056.0,1645897690259
256.0,4056.0,1645897690259
256.0,4056.0,1645897690259
256.0,4056.0,1645897690259
256.0,4056.0,1645897690260
256.0,4056.0,1645897690260
256.0,4056.0,1645897690260
256.0,4056.0,1645897690260
256.0,4056.0,1645897690261
256.0,4056.0,1645897690261
256.0,4056.0,1645897690261
256.0,4056.0,1645897690261
256.0,4056.0,1645897690262
256.0,4056.0,1645897690262
256.0,4056.0,1645897690262
256.0,4056.0,1645897690262
256.0,4056.0,1645897690263
256.0,4056.0,1645897690263
256.0,4056.0,1645897690263
256.0,4056.0,1645897690263
256.0,4056.0,1645897690264
256.0,4056.0,1645897690264
256.0,4056.0,1645897690264
256.0,4056.0,1645897690264
256.0,4056.0,1645897690265
256.0,4055.0,1645897690265
256.0,4055.0,1645897690265
256.0,4055.0,1645897690266
256.0,4055.0,1645897690266
256.0,4055.0,1645897690266
256.0,4055.0,1645897690266
256.0,4055.0,1645897690267
256.0,4055.0,1645897690267
256.0,4055.0,1645897690267
256.0,4055.0,1645897690267
256.0,4055.0,1645897690268
256.0,4055.0,1645897690268
256.0,4055.0,1645897690268
256.0,4055.0,1645897690268
256.0,4055.0,1645897690269
256.0,4055.0,1645897690269
256.0,4055.0,1645897690269
256.0,4055.0,1645897690269
256.0,4055.0,1645897690270
256.0,4055.0,1645897690270
256.0,4055.0,1645897690270
256.0,4055.0,1645897690270
256.0,4055.0,1645897690271
256.0,4055.0,1645897690271
256.0,4055.0,1645897690271
256.0,4055.0,1645897690272
256.0,4055.0,1645897690272
256.0,4055.0,1645897690272
256.0,4055.0,1645897690272
256.0,4055.0,1645897690273
256.0,4055.0,1645897690273
256.0,4055.0,1645897690273
256.0,4055.0,1645897690273
256.0,4055.0,1645897690274
256.0,4055.0,1645897690274
256.0,4054.0,1645897690274
