allocated_memory_MB,total_memory_MB,milliseconds
256.0,3887.0,1645991585077
256.0,3887.0,1645991585077
256.0,3887.0,1645991585077
256.0,3887.0,1645991585077
256.0,3887.0,1645991585078
256.0,3887.0,1645991585078
256.0,3887.0,1645991585078
256.0,3887.0,1645991585078
256.0,3887.0,1645991585079
256.0,3887.0,1645991585079
256.0,3887.0,1645991585079
256.0,3887.0,1645991585079
256.0,3887.0,1645991585079
256.0,3887.0,1645991585079
256.0,3887.0,1645991585080
256.0,3887.0,1645991585080
256.0,3887.0,1645991585080
256.0,3887.0,1645991585080
256.0,3887.0,1645991585080
256.0,3887.0,1645991585080
256.0,3887.0,1645991585081
256.0,3887.0,1645991585081
256.0,3887.0,1645991585081
256.0,3887.0,1645991585081
256.0,3887.0,1645991585081
256.0,3887.0,1645991585081
256.0,3887.0,1645991585082
256.0,3887.0,1645991585082
256.0,3887.0,1645991585082
256.0,3887.0,1645991585082
256.0,3887.0,1645991585082
256.0,3887.0,1645991585082
256.0,3887.0,1645991585083
256.0,3886.0,1645991585083
256.0,3886.0,1645991585083
256.0,3886.0,1645991585083
256.0,3886.0,1645991585083
256.0,3886.0,1645991585084
256.0,3886.0,1645991585084
256.0,3886.0,1645991585084
256.0,3886.0,1645991585084
256.0,3886.0,1645991585084
256.0,3886.0,1645991585085
256.0,3886.0,1645991585085
256.0,3886.0,1645991585085
256.0,3886.0,1645991585085
256.0,3886.0,1645991585085
256.0,3886.0,1645991585086
256.0,3886.0,1645991585086
256.0,3886.0,1645991585086
256.0,3886.0,1645991585086
256.0,3886.0,1645991585086
256.0,3886.0,1645991585087
256.0,3886.0,1645991585087
256.0,3886.0,1645991585087
256.0,3886.0,1645991585087
256.0,3886.0,1645991585088
256.0,3886.0,1645991585088
256.0,3885.0,1645991585088
256.0,3885.0,1645991585088
256.0,3885.0,1645991585088
256.0,3885.0,1645991585088
256.0,3885.0,1645991585089
256.0,3885.0,1645991585089
256.0,3885.0,1645991585089
256.0,3885.0,1645991585089
