allocated_memory_MB,total_memory_MB,milliseconds
214.0,3932.0,1645991901130
214.0,3932.0,1645991901135
214.0,3932.0,1645991901135
214.0,4022.0,1645991901170
214.0,4022.0,1645991901170
214.0,4010.0,1645991901189
214.0,4010.0,1645991901190
214.0,4005.0,1645991901199
214.0,4005.0,1645991901199
214.0,4003.0,1645991901204
214.0,4003.0,1645991901204
214.0,4002.0,1645991901205
214.0,4002.0,1645991901205
214.0,4001.0,1645991901206
214.0,4001.0,1645991901206
214.0,4001.0,1645991901207
214.0,4001.0,1645991901207
214.0,4001.0,1645991901207
214.0,4001.0,1645991901207
214.0,4001.0,1645991901208
214.0,4001.0,1645991901208
214.0,4001.0,1645991901208
214.0,4001.0,1645991901208
214.0,4001.0,1645991901208
214.0,4001.0,1645991901209
214.0,4001.0,1645991901209
214.0,4001.0,1645991901209
214.0,4001.0,1645991901209
214.0,4001.0,1645991901209
214.0,4001.0,1645991901209
214.0,4001.0,1645991901210
214.0,4001.0,1645991901210
214.0,4001.0,1645991901210
214.0,4001.0,1645991901210
214.0,4001.0,1645991901210
214.0,4001.0,1645991901210
214.0,4001.0,1645991901210
214.0,4000.0,1645991901211
214.0,4000.0,1645991901211
214.0,4000.0,1645991901211
214.0,4000.0,1645991901211
214.0,4000.0,1645991901211
214.0,4000.0,1645991901211
214.0,4000.0,1645991901211
214.0,4000.0,1645991901211
214.0,4000.0,1645991901212
214.0,4000.0,1645991901212
214.0,4000.0,1645991901212
214.0,4000.0,1645991901212
214.0,4000.0,1645991901212
214.0,4000.0,1645991901212
214.0,4000.0,1645991901212
214.0,4000.0,1645991901213
214.0,4000.0,1645991901213
214.0,4000.0,1645991901213
214.0,4000.0,1645991901213
214.0,4000.0,1645991901213
214.0,4000.0,1645991901213
214.0,4000.0,1645991901213
214.0,4000.0,1645991901214
214.0,4000.0,1645991901214
214.0,4000.0,1645991901214
214.0,4000.0,1645991901214
214.0,4000.0,1645991901214
214.0,4000.0,1645991901214
214.0,4000.0,1645991901214
214.0,4000.0,1645991901215
