allocated_memory_MB,total_memory_MB,milliseconds
256.0,4036.0,1645580028687
256.0,4056.0,1645580028692
256.0,4056.0,1645580028692
256.0,4056.0,1645580028699
256.0,4056.0,1645580028700
256.0,4056.0,1645580028702
256.0,4056.0,1645580028703
256.0,4056.0,1645580028704
256.0,4056.0,1645580028704
256.0,4056.0,1645580028705
256.0,4056.0,1645580028705
256.0,4056.0,1645580028705
256.0,4056.0,1645580028705
256.0,4056.0,1645580028706
256.0,4056.0,1645580028706
256.0,4056.0,1645580028706
256.0,4056.0,1645580028706
256.0,4056.0,1645580028707
256.0,4056.0,1645580028707
256.0,4056.0,1645580028707
256.0,4056.0,1645580028707
256.0,4056.0,1645580028708
256.0,4056.0,1645580028708
256.0,4056.0,1645580028708
256.0,4056.0,1645580028709
256.0,4056.0,1645580028709
256.0,4056.0,1645580028709
256.0,4056.0,1645580028709
256.0,4056.0,1645580028710
256.0,4056.0,1645580028710
256.0,4056.0,1645580028710
256.0,4056.0,1645580028710
256.0,4056.0,1645580028711
256.0,4056.0,1645580028711
256.0,4056.0,1645580028711
256.0,4056.0,1645580028712
256.0,4056.0,1645580028712
256.0,4056.0,1645580028712
256.0,4056.0,1645580028712
256.0,4056.0,1645580028713
256.0,4056.0,1645580028713
256.0,4056.0,1645580028713
256.0,4056.0,1645580028713
256.0,4056.0,1645580028714
256.0,4056.0,1645580028714
256.0,4056.0,1645580028714
256.0,4056.0,1645580028714
256.0,4056.0,1645580028714
256.0,4056.0,1645580028715
256.0,4056.0,1645580028715
256.0,4056.0,1645580028715
256.0,4055.0,1645580028715
256.0,4055.0,1645580028716
256.0,4055.0,1645580028716
256.0,4055.0,1645580028716
256.0,4055.0,1645580028717
256.0,4055.0,1645580028717
256.0,4055.0,1645580028717
256.0,4055.0,1645580028717
256.0,4055.0,1645580028718
256.0,4055.0,1645580028718
256.0,4055.0,1645580028718
256.0,4055.0,1645580028718
256.0,4055.0,1645580028719
256.0,4055.0,1645580028719
256.0,4055.0,1645580028719
256.0,4055.0,1645580028719
256.0,4055.0,1645580028720
256.0,4055.0,1645580028720
256.0,4055.0,1645580028720
256.0,4055.0,1645580028720
256.0,4055.0,1645580028720
256.0,4055.0,1645580028721
256.0,4055.0,1645580028721
256.0,4055.0,1645580028721
256.0,4055.0,1645580028721
256.0,4055.0,1645580028722
256.0,4055.0,1645580028722
256.0,4054.0,1645580028722
256.0,4054.0,1645580028722
256.0,4054.0,1645580028723
256.0,4054.0,1645580028723
256.0,4054.0,1645580028723
256.0,4054.0,1645580028724
256.0,4054.0,1645580028724
256.0,4054.0,1645580028724
256.0,4054.0,1645580028725
256.0,4054.0,1645580028725
256.0,4054.0,1645580028725
256.0,4054.0,1645580028725
256.0,4054.0,1645580028726
256.0,4054.0,1645580028726
256.0,4054.0,1645580028726
256.0,4054.0,1645580028727
256.0,4054.0,1645580028727
256.0,4054.0,1645580028727
256.0,4054.0,1645580028727
256.0,4054.0,1645580028728
256.0,4054.0,1645580028728
256.0,4054.0,1645580028728
256.0,4054.0,1645580028729
256.0,4054.0,1645580028729
256.0,4054.0,1645580028729
256.0,4054.0,1645580028729
256.0,4054.0,1645580028730
256.0,4054.0,1645580028730
