allocated_memory_MB,total_memory_MB,milliseconds
504.0,3972.0,1645904794842
504.0,3956.0,1645904794893
504.0,3941.0,1645904794922
504.0,3926.0,1645904794951
504.0,3910.0,1645904794978
504.0,3895.0,1645904795004
504.0,3880.0,1645904795030
504.0,3864.0,1645904795057
504.0,3849.0,1645904795082
504.0,3834.0,1645904795107
504.0,3819.0,1645904795131
504.0,3804.0,1645904795156
504.0,3789.0,1645904795181
504.0,3774.0,1645904795206
504.0,3759.0,1645904795231
504.0,3744.0,1645904795256
504.0,4007.0,1645904795288
504.0,3991.0,1645904795310
504.0,3976.0,1645904795332
504.0,3961.0,1645904795355
504.0,3945.0,1645904795377
504.0,3930.0,1645904795398
504.0,3914.0,1645904795420
504.0,3899.0,1645904795442
504.0,3884.0,1645904795463
504.0,3868.0,1645904795485
504.0,3853.0,1645904795507
504.0,3838.0,1645904795529
504.0,3822.0,1645904795550
504.0,3807.0,1645904795572
504.0,3791.0,1645904795593
504.0,3776.0,1645904795615
504.0,3761.0,1645904795637
504.0,4011.0,1645904795668
504.0,3996.0,1645904795690
504.0,3981.0,1645904795712
504.0,3965.0,1645904795736
504.0,3950.0,1645904795758
504.0,3934.0,1645904795780
504.0,3919.0,1645904795802
504.0,3904.0,1645904795824
504.0,3888.0,1645904795845
504.0,3873.0,1645904795867
504.0,3858.0,1645904795889
504.0,3842.0,1645904795910
504.0,3827.0,1645904795932
504.0,3811.0,1645904795954
504.0,3796.0,1645904795975
504.0,3781.0,1645904795997
504.0,3765.0,1645904796018
504.0,3750.0,1645904796040
504.0,3735.0,1645904796062
504.0,3719.0,1645904796083
504.0,4004.0,1645904796105
504.0,3988.0,1645904796127
504.0,3973.0,1645904796149
504.0,3958.0,1645904796170
504.0,3942.0,1645904796192
504.0,3927.0,1645904796214
504.0,3912.0,1645904796236
504.0,3895.0,1645904796267
504.0,3878.0,1645904796299
504.0,3861.0,1645904796332
504.0,3832.0,1645904796372
504.0,3803.0,1645904796413
504.0,3775.0,1645904796453
504.0,3759.0,1645904796487
504.0,3742.0,1645904796523
504.0,3725.0,1645904796559
504.0,4008.0,1645904796595
504.0,3992.0,1645904796629
504.0,3977.0,1645904796662
504.0,3961.0,1645904796695
504.0,3945.0,1645904796729
504.0,3930.0,1645904796761
504.0,3913.0,1645904796795
504.0,3897.0,1645904796828
504.0,3881.0,1645904796859
504.0,3864.0,1645904796892
504.0,3848.0,1645904796934
504.0,3830.0,1645904796971
504.0,3813.0,1645904797007
504.0,3797.0,1645904797039
504.0,3781.0,1645904797073
504.0,3765.0,1645904797107
504.0,3750.0,1645904797141
504.0,3733.0,1645904797175
504.0,3718.0,1645904797208
504.0,4002.0,1645904797242
504.0,3986.0,1645904797276
504.0,3970.0,1645904797310
504.0,3955.0,1645904797344
504.0,3939.0,1645904797374
504.0,3923.0,1645904797403
504.0,3907.0,1645904797435
504.0,3884.0,1645904797473
504.0,3855.0,1645904797512
504.0,3825.0,1645904797552
504.0,3796.0,1645904797592
504.0,3766.0,1645904797631
504.0,3739.0,1645904797669
504.0,4012.0,1645904797706
504.0,3983.0,1645904797745
504.0,3954.0,1645904797785
504.0,3937.0,1645904797816
504.0,3910.0,1645904797854
504.0,3893.0,1645904797887
504.0,3877.0,1645904797918
504.0,3839.0,1645904797963
504.0,3820.0,1645904797997
504.0,3802.0,1645904798031
504.0,3783.0,1645904798064
504.0,3765.0,1645904798095
504.0,3746.0,1645904798132
504.0,3725.0,1645904798168
504.0,4003.0,1645904798202
504.0,3973.0,1645904798241
504.0,3943.0,1645904798305
504.0,3927.0,1645904798337
504.0,3908.0,1645904798367
504.0,3892.0,1645904798396
504.0,3875.0,1645904798429
504.0,3842.0,1645904798468
504.0,3826.0,1645904798501
504.0,3809.0,1645904798534
504.0,3788.0,1645904798569
504.0,3772.0,1645904798601
504.0,3755.0,1645904798632
504.0,3738.0,1645904798664
504.0,3722.0,1645904798695
504.0,4007.0,1645904798727
504.0,3987.0,1645904798763
504.0,3963.0,1645904798801
504.0,3940.0,1645904798838
504.0,3915.0,1645904798876
504.0,3891.0,1645904798913
504.0,3867.0,1645904798952
504.0,3843.0,1645904798990
504.0,3814.0,1645904799031
504.0,3797.0,1645904799067
504.0,3780.0,1645904799102
504.0,3763.0,1645904799138
504.0,3746.0,1645904799173
504.0,3715.0,1645904799214
504.0,3983.0,1645904799255
504.0,3967.0,1645904799289
504.0,3950.0,1645904799322
504.0,3925.0,1645904799359
504.0,3909.0,1645904799391
504.0,3893.0,1645904799424
504.0,3876.0,1645904799459
504.0,3859.0,1645904799490
504.0,3843.0,1645904799520
504.0,3826.0,1645904799551
504.0,3810.0,1645904799583
504.0,3793.0,1645904799614
504.0,3777.0,1645904799645
504.0,3760.0,1645904799676
504.0,3744.0,1645904799706
504.0,3727.0,1645904799737
504.0,4011.0,1645904799769
504.0,3995.0,1645904799802
504.0,3979.0,1645904799833
504.0,3963.0,1645904799865
504.0,3948.0,1645904799896
504.0,3933.0,1645904799926
504.0,3901.0,1645904799967
504.0,3867.0,1645904800009
504.0,3836.0,1645904800048
504.0,3807.0,1645904800089
504.0,3783.0,1645904800125
504.0,3756.0,1645904800162
504.0,3739.0,1645904800194
504.0,3722.0,1645904800226
504.0,4005.0,1645904800260
504.0,3988.0,1645904800294
504.0,3972.0,1645904800325
504.0,3952.0,1645904800362
504.0,3932.0,1645904800398
504.0,3913.0,1645904800433
504.0,3893.0,1645904800466
504.0,3873.0,1645904800499
504.0,3854.0,1645904800532
504.0,3834.0,1645904800565
504.0,3808.0,1645904800604
504.0,3787.0,1645904800641
504.0,3765.0,1645904800678
504.0,3744.0,1645904800713
504.0,3723.0,1645904800751
504.0,3992.0,1645904800791
504.0,3969.0,1645904800827
504.0,3947.0,1645904800866
504.0,3908.0,1645904800909
504.0,3891.0,1645904800942
504.0,3875.0,1645904800974
504.0,3842.0,1645904801014
504.0,3825.0,1645904801046
504.0,3808.0,1645904801079
504.0,3792.0,1645904801111
504.0,3775.0,1645904801141
504.0,3759.0,1645904801176
504.0,3742.0,1645904801211
504.0,3725.0,1645904801242
504.0,4009.0,1645904801275
504.0,3992.0,1645904801308
504.0,3969.0,1645904801345
504.0,3946.0,1645904801382
504.0,3923.0,1645904801418
504.0,3900.0,1645904801456
504.0,3877.0,1645904801494
504.0,3854.0,1645904801531
504.0,3828.0,1645904801565
504.0,3803.0,1645904801598
504.0,3767.0,1645904801641
504.0,3752.0,1645904801677
504.0,3736.0,1645904801708
504.0,3720.0,1645904801739
504.0,4004.0,1645904801772
504.0,3989.0,1645904801803
504.0,3973.0,1645904801828
504.0,3946.0,1645904801866
504.0,3930.0,1645904801896
504.0,3911.0,1645904801927
504.0,3895.0,1645904801956
504.0,3879.0,1645904801985
504.0,3864.0,1645904802014
504.0,3849.0,1645904802044
504.0,3832.0,1645904802079
504.0,3815.0,1645904802112
504.0,3799.0,1645904802147
504.0,3782.0,1645904802181
504.0,3765.0,1645904802214
504.0,3749.0,1645904802248
504.0,3732.0,1645904802284
504.0,3714.0,1645904802316
504.0,3996.0,1645904802349
504.0,3979.0,1645904802381
504.0,3961.0,1645904802413
504.0,3943.0,1645904802445
504.0,3926.0,1645904802478
504.0,3908.0,1645904802510
504.0,3890.0,1645904802542
504.0,3872.0,1645904802572
504.0,3854.0,1645904802602
504.0,3823.0,1645904802640
504.0,3794.0,1645904802676
504.0,3763.0,1645904802717
504.0,3744.0,1645904802752
504.0,4012.0,1645904802793
504.0,3995.0,1645904802825
504.0,3977.0,1645904802857
504.0,3961.0,1645904802888
504.0,3944.0,1645904802917
504.0,3927.0,1645904802947
504.0,3911.0,1645904802975
