allocated_memory_MB,total_memory_MB,milliseconds
256.0,4057.0,1645990989259
256.0,4048.0,1645990989291
256.0,4039.0,1645990989302
256.0,4052.0,1645990989316
256.0,4044.0,1645990989324
256.0,4035.0,1645990989331
256.0,4026.0,1645990989340
256.0,4021.0,1645990989348
256.0,4052.0,1645990989356
256.0,4047.0,1645990989362
256.0,4041.0,1645990989368
256.0,4036.0,1645990989374
256.0,4030.0,1645990989380
256.0,4025.0,1645990989386
256.0,4019.0,1645990989392
256.0,4013.0,1645990989398
256.0,4008.0,1645990989406
256.0,4002.0,1645990989413
256.0,3997.0,1645990989421
256.0,3991.0,1645990989428
256.0,3986.0,1645990989435
256.0,3980.0,1645990989443
256.0,3974.0,1645990989450
256.0,3969.0,1645990989458
256.0,3963.0,1645990989466
256.0,3958.0,1645990989474
256.0,3952.0,1645990989481
256.0,3946.0,1645990989489
256.0,3941.0,1645990989497
256.0,3935.0,1645990989504
256.0,3930.0,1645990989511
256.0,3924.0,1645990989519
256.0,3919.0,1645990989526
256.0,3913.0,1645990989534
256.0,3908.0,1645990989541
256.0,4052.0,1645990989547
256.0,4047.0,1645990989553
256.0,4041.0,1645990989560
256.0,4035.0,1645990989565
256.0,4030.0,1645990989572
256.0,4024.0,1645990989578
256.0,4019.0,1645990989584
256.0,4013.0,1645990989591
256.0,4008.0,1645990989597
256.0,4002.0,1645990989603
256.0,3997.0,1645990989609
256.0,3991.0,1645990989615
256.0,3986.0,1645990989620
256.0,3980.0,1645990989626
256.0,3974.0,1645990989632
256.0,3969.0,1645990989638
256.0,3963.0,1645990989644
256.0,3958.0,1645990989650
256.0,3952.0,1645990989656
256.0,3947.0,1645990989662
256.0,3941.0,1645990989669
256.0,3936.0,1645990989675
256.0,3930.0,1645990989681
256.0,3925.0,1645990989687
256.0,3919.0,1645990989693
256.0,3914.0,1645990989699
256.0,3908.0,1645990989705
256.0,4053.0,1645990989712
256.0,4047.0,1645990989717
256.0,4042.0,1645990989723
256.0,4036.0,1645990989729
256.0,4031.0,1645990989735
256.0,4025.0,1645990989741
256.0,4020.0,1645990989747
256.0,4014.0,1645990989753
256.0,4008.0,1645990989759
256.0,4003.0,1645990989765
256.0,3997.0,1645990989771
256.0,3992.0,1645990989777
256.0,3986.0,1645990989783
256.0,3981.0,1645990989789
256.0,3975.0,1645990989795
256.0,3970.0,1645990989800
256.0,3964.0,1645990989807
256.0,3959.0,1645990989813
256.0,3953.0,1645990989818
256.0,3948.0,1645990989824
256.0,3942.0,1645990989830
256.0,3937.0,1645990989835
256.0,3931.0,1645990989842
256.0,3926.0,1645990989847
256.0,3920.0,1645990989853
256.0,3915.0,1645990989859
256.0,3909.0,1645990989864
256.0,4054.0,1645990989871
256.0,4048.0,1645990989877
256.0,4043.0,1645990989883
256.0,4037.0,1645990989889
256.0,4032.0,1645990989895
256.0,4026.0,1645990989901
256.0,4021.0,1645990989907
256.0,4015.0,1645990989913
256.0,4010.0,1645990989919
256.0,4004.0,1645990989924
256.0,3999.0,1645990989930
256.0,3993.0,1645990989936
256.0,3988.0,1645990989942
256.0,3982.0,1645990989948
256.0,3976.0,1645990989953
256.0,3971.0,1645990989959
256.0,3965.0,1645990989965
256.0,3960.0,1645990989971
256.0,3954.0,1645990989977
256.0,3949.0,1645990989982
256.0,3943.0,1645990989988
