allocated_memory_MB,total_memory_MB,milliseconds
256.0,3960.0,1645991049968
256.0,3954.0,1645991049977
256.0,3948.0,1645991049985
256.0,3942.0,1645991049993
256.0,3937.0,1645991050002
256.0,3931.0,1645991050010
256.0,3926.0,1645991050018
256.0,3920.0,1645991050027
256.0,3915.0,1645991050035
256.0,3909.0,1645991050043
256.0,4035.0,1645991050064
256.0,4029.0,1645991050072
256.0,4024.0,1645991050081
256.0,4018.0,1645991050088
256.0,4013.0,1645991050096
256.0,4007.0,1645991050103
256.0,4002.0,1645991050110
256.0,3996.0,1645991050117
256.0,3990.0,1645991050125
256.0,3985.0,1645991050132
256.0,3979.0,1645991050139
256.0,3974.0,1645991050146
256.0,3968.0,1645991050154
256.0,3963.0,1645991050161
256.0,3957.0,1645991050169
256.0,3952.0,1645991050176
256.0,3946.0,1645991050183
256.0,3941.0,1645991050192
256.0,3935.0,1645991050199
256.0,3930.0,1645991050206
256.0,3924.0,1645991050213
256.0,3919.0,1645991050219
256.0,3913.0,1645991050226
256.0,3907.0,1645991050234
256.0,4034.0,1645991050249
256.0,4028.0,1645991050256
256.0,4023.0,1645991050264
256.0,4017.0,1645991050272
256.0,4012.0,1645991050280
256.0,4006.0,1645991050287
256.0,4001.0,1645991050294
256.0,3995.0,1645991050302
256.0,3990.0,1645991050309
256.0,3984.0,1645991050316
256.0,3979.0,1645991050323
256.0,3973.0,1645991050330
256.0,3968.0,1645991050337
256.0,3962.0,1645991050344
256.0,3957.0,1645991050350
256.0,3951.0,1645991050357
256.0,3946.0,1645991050364
256.0,3940.0,1645991050371
256.0,3934.0,1645991050378
256.0,3929.0,1645991050384
256.0,3923.0,1645991050392
256.0,3918.0,1645991050399
256.0,3912.0,1645991050406
256.0,3907.0,1645991050413
256.0,3901.0,1645991050420
256.0,3896.0,1645991050427
256.0,3890.0,1645991050435
256.0,3885.0,1645991050442
256.0,4031.0,1645991050450
256.0,4026.0,1645991050457
256.0,4020.0,1645991050465
256.0,4015.0,1645991050472
256.0,4009.0,1645991050480
256.0,4004.0,1645991050489
256.0,3998.0,1645991050496
256.0,3993.0,1645991050504
256.0,3987.0,1645991050513
256.0,3982.0,1645991050520
256.0,3976.0,1645991050528
256.0,3971.0,1645991050535
256.0,3965.0,1645991050542
256.0,3960.0,1645991050550
256.0,3954.0,1645991050556
256.0,3948.0,1645991050564
256.0,3943.0,1645991050571
256.0,3937.0,1645991050578
256.0,3932.0,1645991050585
256.0,3926.0,1645991050592
256.0,3921.0,1645991050600
256.0,3915.0,1645991050607
256.0,3910.0,1645991050615
256.0,3904.0,1645991050622
256.0,3899.0,1645991050629
256.0,3893.0,1645991050636
256.0,3888.0,1645991050643
256.0,4034.0,1645991050651
256.0,4029.0,1645991050657
256.0,4023.0,1645991050665
256.0,4018.0,1645991050671
256.0,4012.0,1645991050677
256.0,4007.0,1645991050684
256.0,4001.0,1645991050691
256.0,3996.0,1645991050698
256.0,3990.0,1645991050704
256.0,3985.0,1645991050710
256.0,3979.0,1645991050717
